N°Contrat;Projet;Entreprise;Montant;Taux;"Durée de remboursements (mois)";"Date de financement";"Date de clôture";Mensualité;Prochaine;Statut;"Intérêts nets perçus"
C42932693BF5A602078;"Vente Villa EZE";JMCECE;60;15;4;17/12/2025;06/04/2026;0,75;06/02/2026;"Prêt en cours";0,25
C429326939B3527F2FF;"Commande Ducati";"AXON GENERATIVE";100;15;24;26/12/2025;06/12/2027;1,25;06/02/2026;"Prêt en cours";0,17
C429326939808A5060D;"LARA INVEST - T4 Duplex - Appt 7B";"LARA INVEST";55;15;18;17/12/2025;06/06/2027;0,69;06/02/2026;"Prêt en cours";0,23
C4293269304D58D918B;"Commande Esselunga";"MULTIPRINT SAM";50;14,9;18;05/12/2025;06/06/2027;0,62;06/02/2026;"Prêt en cours";0,38
C4293269302D174ABFC;"Déploiement Fibre Florence";PAGLIACCIA;50;14,9;23;10/12/2025;06/11/2027;0,62;06/02/2026;"Prêt en cours";0,31
C4293269302CCFC45E4;"Travaux - Bures-sur-Yvette - chantier G1845,01002";"TWELVE INFRA";50;15;18;03/12/2025;06/06/2027;0,63;06/02/2026;"Prêt en cours";0,41
C4293269302CB0D8EE1;"Commande Ville Udine";"A&T Europe";50;15;18;03/12/2025;06/06/2027;0,63;06/02/2026;"Prêt en cours";0,41
C4293269302C81299C4;"Commande ICN2025";TRADIMEX;50;15;22;14/12/2025;06/10/2027;0,63;06/02/2026;"Prêt en cours";0,26
C4293269302C5FE27A5;"Opération Saint Paul de Vence";CHASAN;50;15;23;06/12/2025;06/11/2027;0,63;06/02/2026;"Prêt en cours";0,37
C4293268FB9BA3A2D4B;"Promotion immobilière Beausoleil";JMF;81;15;26;25/10/2025;06/12/2027;1,01;06/02/2026;"Prêt en cours";1,58
C4293268FB9B568BE33;"Travaux ANAS";CANUTO;80;15;24;14/11/2025;06/11/2027;1;06/02/2026;"Prêt en cours";1,1
C4293268F113726BB13;"Commande TallGrass";Specchiasol;30;15;22;17/10/2025;06/08/2027;0,38;06/02/2026;"Prêt en cours";0,67
C4293268E5380D0790D;"CMD Hôpital Ruse";AMET;50;15;24;12/10/2025;06/10/2027;0,63;06/02/2026;"Prêt en cours";1,17
C4293268E502A6E406A;"Saint-Jean-Cap-Ferrat Travaux R+1";JMCECE;50;15;28;07/10/2025;06/02/2028;0,63;06/02/2026;"Prêt en cours";1,24
C4293268DD1BB316831;"Commande 0187";PHOENIX;50;15;12;01/10/2025;06/10/2026;0,63;06/02/2026;"Prêt en cours";1,32
C4293268DD0FC4A0C35;"Fibre optique - Lot de factures 2025-2";"TWELVE COM";50;15;18;01/10/2025;06/04/2027;0,63;06/02/2026;"Prêt en cours";1,32
C4293268D7E2E159039;"Noces d'or - Facture 4106";"CHATEAU DES ORCHIDEES";50;15;16;27/09/2025;06/01/2027;0,63;06/02/2026;"Prêt en cours";1,38
C4293268D7C5C021985;"Sécurisation de quais - Dev25667";SECURIDOCK;50;15;10;01/10/2025;06/08/2026;0,63;06/02/2026;"Prêt en cours";1,32
C4293268D7A97CC0DE4;"Travaux de construction - Saint-Cannat";"LES MAISONS DE DEMAIN";50;15;12;28/09/2025;06/09/2026;0,63;06/02/2026;"Prêt en cours";1,36
C4293268D3EA492F667;"Ferrari Purosangue";"PRESTIGE MOTOR CLUB";100;14,9;16;28/09/2025;06/01/2027;1,24;06/02/2026;"Prêt en cours";2,69
C4293268C54ED9F3481;"Opération La Roquebrunoise";CHASAN;50;15;22;28/09/2025;06/07/2027;0,63;06/02/2026;"Prêt en cours";1,36
C4293268C54127A611D;"Commande Laboratoire Remedia";Specchiasol;160;15;20;19/09/2025;06/05/2027;2;06/02/2026;"Prêt en cours";4,76
C4293268C00A25415DC;"Commande Wine 20257391";"PRIVATE WINE";108;15;19;10/09/2025;06/04/2027;1,35;06/02/2026;"Prêt en cours";3,48
C4293268B7F62D93FD9;"JMCECE - Saint-Jean-Cap-Ferrat Travaux RDC";JMCECE;200;15;28;06/09/2025;06/01/2028;2,5;06/02/2026;"Prêt en cours";6,71
C4293268AEF723DBE11;"JMCECE - Saint-Jean-Cap-Ferrat Travaux R-1";JMCECE;100;15;28;27/08/2025;06/12/2027;1,25;06/02/2026;"Prêt en cours";3,62
C4293268A06DF13F2CE;"ASPROMONTE - T3 Duplex - 14A";ASPROMONTE;103;14,8;24;20/08/2025;06/08/2027;1,27;06/02/2026;"Prêt en cours";3,9
C4293268A06DE6E2A01;"Tradimex - Commande NERP2025";TRADIMEX;100;14,7;17;22/08/2025;06/01/2027;1,23;06/02/2026;"Prêt en cours";3,72
C4293268A06DBFEFC02;"Private Wine";"PRIVATE WINE";100;15;20;19/08/2025;06/04/2027;1,25;06/02/2026;"Prêt en cours";3,84
C4293268889C57D3669;"Chasan - Opération Les Rives";CHASAN;200;15;20;04/08/2025;06/04/2027;2,5;06/02/2026;"Prêt en cours";8,58
